ts,load_mbps
2022-04-30 17:00:00,29447583.000000022
2022-04-30 17:15:00,29335476.0
2022-04-30 17:30:00,29389508.666666646
2022-04-30 17:45:00,29761378.000000007
2022-04-30 18:00:00,29754795.000000034
2022-04-30 18:15:00,29843798.666666694
2022-04-30 18:30:00,30361007.666666664
2022-04-30 18:45:00,30488219.000000007
2022-04-30 19:00:00,30305249.00000001
2022-04-30 19:15:00,30369476.33333336
2022-04-30 19:30:00,30410220.99999999
2022-04-30 19:45:00,30422555.000000004
2022-04-30 20:00:00,30553291.99999999
2022-04-30 20:15:00,30885061.333333332
2022-04-30 20:30:00,31081536.666666653
2022-04-30 20:45:00,31265395.666666675
2022-04-30 21:00:00,32147451.66666666
2022-04-30 21:15:00,32134128.33333331
2022-04-30 21:30:00,31976712.66666663
2022-04-30 21:45:00,31983970.000000007
2022-04-30 22:00:00,32400910.0
2022-04-30 22:15:00,32126933.000000004
2022-04-30 22:30:00,31818454.00000001
2022-04-30 22:45:00,32353541.0
2022-04-30 23:00:00,33017969.333333332
2022-04-30 23:15:00,32986417.999999974
2022-04-30 23:30:00,33155849.00000001
2022-04-30 23:45:00,33283365.666666653
2022-05-01 00:00:00,33746058.333333306
2022-05-01 00:15:00,34319792.33333331
2022-05-01 00:30:00,35696116.99999998
2022-05-01 00:45:00,36503252.99999999
2022-05-01 01:00:00,37941026.333333336
2022-05-01 01:15:00,38425036.33333336
2022-05-01 01:30:00,39455793.66666665
2022-05-01 01:45:00,39787705.3333333
2022-05-01 02:00:00,40705993.00000002
2022-05-01 02:15:00,40964396.0
2022-05-01 02:30:00,40365031.666666664
2022-05-01 02:45:00,40173929.666666664
2022-05-01 03:00:00,40290232.99999997
2022-05-01 03:15:00,39990708.33333329
2022-05-01 03:30:00,39058137.0
2022-05-01 03:45:00,38871733.33333333
2022-05-01 04:00:00,37808493.333333336
2022-05-01 04:15:00,37006751.99999999
2022-05-01 04:30:00,35155806.33333332
2022-05-01 04:45:00,34423828.33333333
2022-05-01 05:00:00,33209560.333333354
2022-05-01 05:15:00,32250351.00000002
2022-05-01 05:30:00,30206973.999999996
2022-05-01 05:45:00,29475093.66666665
2022-05-01 06:00:00,27629010.333333325
2022-05-01 06:15:00,26708190.333333336
2022-05-01 06:30:00,25240707.333333347
2022-05-01 06:45:00,24588601.33333332
2022-05-01 07:00:00,23464712.333333317
2022-05-01 07:15:00,22932139.333333317
2022-05-01 07:30:00,21840238.66666667
2022-05-01 07:45:00,21238321.333333313
2022-05-01 08:00:00,20417501.666666657
2022-05-01 08:15:00,19924502.0
2022-05-01 08:30:00,19196858.33333332
2022-05-01 08:45:00,19039066.999999985
2022-05-01 09:00:00,18259793.66666666
2022-05-01 09:15:00,17721006.33333332
2022-05-01 09:30:00,17252080.66666667
2022-05-01 09:45:00,17166134.00000001
2022-05-01 10:00:00,16913715.666666653
2022-05-01 10:15:00,16766166.000000004
2022-05-01 10:30:00,16542307.666666662
2022-05-01 10:45:00,16640790.666666673
2022-05-01 11:00:00,17163451.666666657
2022-05-01 11:15:00,17438904.99999998
2022-05-01 11:30:00,17974398.666666653
2022-05-01 11:45:00,18445977.333333347
2022-05-01 12:00:00,19427439.666666668
2022-05-01 12:15:00,19794503.333333332
2022-05-01 12:30:00,20884817.333333362
2022-05-01 12:45:00,21427905.999999985
2022-05-01 13:00:00,22266931.666666668
2022-05-01 13:15:00,22754660.666666653
